1;2HNYD18853H479551;Lorita Royste;Volkswagen;1191
2;4A31K2DF0BE082498;Jessamyn Evangelinos;GMC;1190
3;5UXZW0C53D0759856;Gabey O'Sherin;Dodge;1120
4;1C4NJPBA2DD206503;Shanna Culver;Ford;1150
5;WBA3B3C51DF500121;Brook Yeude;Oldsmobile;1146
6;3D4PH5FV1AT652026;Barn Aikett;Acura;1143
7;1C4RDHEG2FC430572;Marena Dugald;Nissan;1166
8;1D4RE4GG4BC637108;Marsha Jeanequin;Hyundai;1180
9;2HNYB1H23AH266449;Annemarie Lis;Jeep;1170
10;WVGEG9BP6CD822598;Kimble Fieldsend;Jaguar;1140
11;1FMEU6EE8AU391712;Birdie Bewlay;Ferrari;1122
12;WA1AV94L47D078261;Sayre Eckhard;Pontiac;1147
13;3D7TP2HT3AG763278;Leontine Johannesson;Acura;1127
14;WAUWMAFC2FN645148;Geralda Arckoll;Ford;1245
15;JN1AZ4EH9FM779712;Hieronymus Sowden;Hyundai;1138
16;WDDPK4HA6DF701809;Augustina Coplestone;Dodge;1276
17;JN1AV7AP4FM170330;Blair Speight;GMC;1393
18;5UXZV8C53BL176135;Osmund Szwarc;Lamborghini;1163
19;1G6DS5E34D0817413;Margaux Itzkovici;Saturn;1289
20;1YVHZ8BHXD5299624;Salmon Stringfellow;BMW;1177
